date,account_id,campaign_id,campaign_name,adset_id,adset_name,ad_id,ad_type,device,spend,clicks,imps,conversions,,,,,,,,,,,,,
2021-10-01,KvHZHCUnRS1G2k25DBXWig==,WgdYr5llR6HwSxu/YrR2Gg==,_CN|AMACRM_BR|AMA_FF|WALLMART,5aUmMIQksGGZui1ig/d29A==,Broad Tr | text 1,hkuO+yW3LdbLXvZqR2ZoGg==,Expanded text ad,Mobile devices with full browsers,58.17,1,321,3,,,,,,,,,,,,,
2021-10-01,KvHZHCUnRS1G2k25DBXWig==,GMDa0jHMb/kAPNjZ8sv90A==,_CN|FIGHTER_BR|AMA_FF|SITE,WSWd6aAlECGsa5IDiMDh2g==,text 2,AmrRspIz7ExFVRYh2Uz02A==,Expanded text ad,Mobile devices with full browsers,18.41,3,246,0,,,,,,,,,,,,,
2021-10-01,KvHZHCUnRS1G2k25DBXWig==,GMDa0jHMb/kAPNjZ8sv90A==,_CN|FIGHTER_BR|AMA_FF|SITE,WSWd6aAlECGsa5IDiMDh2g==,text 2,AmrRspIz7ExFVRYh2Uz02A==,Expanded text ad,Mobile devices with full browsers,75.91,8,269,0,,,,,,,,,,,,,
2021-10-01,KvHZHCUnRS1G2k25DBXWig==,GMDa0jHMb/kAPNjZ8sv90A==,_CN|FIGHTER_BR|AMA_FF|SITE,WSWd6aAlECGsa5IDiMDh2g==,text 2,AmrRspIz7ExFVRYh2Uz02A==,Expanded text ad,Mobile devices with full browsers,83.06,9,174,3,,,,,,,,,,,,,
2021-10-01,KvHZHCUnRS1G2k25DBXWig==,GMDa0jHMb/kAPNjZ8sv90A==,_CN|FIGHTER_BR|AMA_FF|SITE,WSWd6aAlECGsa5IDiMDh2g==,text 2,AmrRspIz7ExFVRYh2Uz02A==,Expanded text ad,Mobile devices with full browsers,47.34,5,230,1,,,,,,,,,,,,,
2021-10-01,DLH2GuJt0uJopHspKxKPmg==,zRRwAzE/dzRIBehvyZL69Q==,_CN|STUDENT_BR|UNIVERSITY_FF|WALLMART,7nm3jfcXpm7aPCoRss7G7A==,Broad Tr | text 5,Ty59S+/w94UtsCgY6KB2pg==,Expanded text ad,Mobile devices with full browsers,31.39,2,186,0,,,,,,,,,,,,,
2021-10-01,KvHZHCUnRS1G2k25DBXWig==,WgdYr5llR6HwSxu/YrR2Gg==,_CN|AMACRM_BR|AMA_FF|WALLMART,5aUmMIQksGGZui1ig/d29A==,Broad Tr | text 1,hkuO+yW3LdbLXvZqR2ZoGg==,Expanded text ad,Mobile devices with full browsers,55.00,5,67,1,,,,,,,,,,,,,
2021-10-01,KvHZHCUnRS1G2k25DBXWig==,WgdYr5llR6HwSxu/YrR2Gg==,_CN|AMACRM_BR|AMA_FF|WALLMART,5aUmMIQksGGZui1ig/d29A==,Broad Tr | text 1,hkuO+yW3LdbLXvZqR2ZoGg==,Expanded text ad,Mobile devices with full browsers,6.00,2,157,1,,,,,,,,,,,,,
2021-10-01,KvHZHCUnRS1G2k25DBXWig==,WgdYr5llR6HwSxu/YrR2Gg==,_CN|AMACRM_BR|AMA_FF|WALLMART,5XiFHJ5g9LD2/hBLYZSAyQ==,Broad Tr | text 3,t3BEZU93Oe7vyvrSCidOAQ==,Expanded text ad,Computers,13.00,1,94,3,,,,,,,,,,,,,
2021-10-01,KvHZHCUnRS1G2k25DBXWig==,WgdYr5llR6HwSxu/YrR2Gg==,_CN|AMACRM_BR|AMA_FF|WALLMART,5XiFHJ5g9LD2/hBLYZSAyQ==,Broad Tr | text 3,t3BEZU93Oe7vyvrSCidOAQ==,Expanded text ad,Mobile devices with full browsers,25.00,1,68,3,,,,,,,,,,,,,
