account_id,campaign_id,adset_id,ad_id,headline1,headline2,text,destination_url,,,,,,,,,,,,,,
KvHZHCUnRS1G2k25DBXWig==,WgdYr5llR6HwSxu/YrR2Gg==,5aUmMIQksGGZui1ig/d29A==,hkuO+yW3LdbLXvZqR2ZoGg==,YqeNG+/UId+kO2KLjzKxBg==,12CHLK78S8wvbxj70aCyoA==,gdK7H7wgWpRvZgSzsZIuPQ==,https://www.walmart.com/product/university-high-school/?_bctx=CAYQo_AD&asb=1EN9BBz05Tsb3TGmK9Yjaz8aAW11xeaj6qCmeMYi55s%253D&asb2=6gvu8CGzKkDoKsar76hjWYxjE_OHp9xUVN0XwJLRfgY,,,,,,,,,,,,,,
KvHZHCUnRS1G2k25DBXWig==,WgdYr5llR6HwSxu/YrR2Gg==,5XiFHJ5g9LD2/hBLYZSAyQ==,t3BEZU93Oe7vyvrSCidOAQ==,x/NX0dIXDXJ5O2JeVUj0hg==,mRLvPGX0fBcYn83RRfMbYw==,4xEmOgC/TcprWGgJew3qUQ==,https://www.walmart.com/product/university-high-school/?_bctx=CAYQo_AD&asb=1EN9BBz05Tsb3TGmK9Yjaz8aAW11xeaj6qCmeMYi55s%253D&asb2=6gvu8CGzKkDoKsar76hjWYxjE_OHp9xUVN0XwJLRfgY,,,,,,,,,,,,,,
KvHZHCUnRS1G2k25DBXWig==,WgdYr5llR6HwSxu/YrR2Gg==,5XiFHJ5g9LD2/hBLYZSAyQ==,crlBfPCm+Z1/EQAzBqpkrA==,x/NX0dIXDXJ5O2JeVUj0hg==,mRLvPGX0fBcYn83RRfMbYw==,gdK7H7wgWpRvZgSzsZIuPQ==,https://www.walmart.com/product/university-high-school/?_bctx=CAYQo_AD&asb=1EN9BBz05Tsb3TGmK9Yjaz8aAW11xeaj6qCmeMYi55s%253D&asb2=6gvu8CGzKkDoKsar76hjWYxjE_OHp9xUVN0XwJLRfgY,,,,,,,,,,,,,,
KvHZHCUnRS1G2k25DBXWig==,GMDa0jHMb/kAPNjZ8sv90A==,1p9+1rIZ7gcDvkZ8bvmkGw==,zcq+nOHEuvBE8froYA1cvg==,AOCxKJicyxXiji5QJtFJuA==,umSH0KgpE5d1hk7z89WRYg==,wV4vJwLAB5K+uW/k0jm/qw==,https://www.site.ru/,,,,,,,,,,,,,,
KvHZHCUnRS1G2k25DBXWig==,GMDa0jHMb/kAPNjZ8sv90A==,WSWd6aAlECGsa5IDiMDh2g==,AmrRspIz7ExFVRYh2Uz02A==,Zd+2skv6YeFpQm3rmXiBNQ==,umSH0KgpE5d1hk7z89WRYg==,slTQIAltcJZgSfaVvbYWjg==,https://www.site.ru/,,,,,,,,,,,,,,
DLH2GuJt0uJopHspKxKPmg==,zRRwAzE/dzRIBehvyZL69Q==,7nm3jfcXpm7aPCoRss7G7A==,Ho2WLS1iu63beefdncf2nQ==,IU5a2+QIPHTDpAUH69SJmw==,fLFwmpZpCje4FV/syLYS8g==,s+codZFzfzqJgLEAY9wlqA==,https://www.walmart.com/highlight/fighter-03403459032/,,,,,,,,,,,,,,
DLH2GuJt0uJopHspKxKPmg==,zRRwAzE/dzRIBehvyZL69Q==,7nm3jfcXpm7aPCoRss7G7A==,Ty59S+/w94UtsCgY6KB2pg==,IU5a2+QIPHTDpAUH69SJmw==,S2YGN4JApQtan9HGz/89Xw==,vBBXyC2j6766AC6tMaZErw==,https://www.walmart.com/highlight/fighter-03403459032/,,,,,,,,,,,,,,
KvHZHCUnRS1G2k25DBXWig==,WgdYr5llR6HwSxu/YrR2Gg==,5aUmMIQksGGZui1ig/d29A==,wxzDYKZo11WXMR8Kch8YAw==,YqeNG+/UId+kO2KLjzKxBg==,12CHLK78S8wvbxj70aCyoA==,QGKdSAnd6F6+tMxZMi3LVA==,https://www.walmart.com/product/university-high-school/?_bctx=CAYQo_AD&asb=1EN9BBz05Tsb3TGmK9Yjaz8aAW11xeaj6qCmeMYi55s%253D&asb2=6gvu8CGzKkDoKsar76hjWYxjE_OHp9xUVN0XwJLRfgY,,,,,,,,,,,,,,
KvHZHCUnRS1G2k25DBXWig==,WgdYr5llR6HwSxu/YrR2Gg==,5aUmMIQksGGZui1ig/d29A==,hkuO+yW3LdbLXvZqR2ZoGg==,YqeNG+/UId+kO2KLjzKxBg==,12CHLK78S8wvbxj70aCyoA==,gdK7H7wgWpRvZgSzsZIuPQ==,https://www.walmart.com/product/university-high-school/?_bctx=CAYQo_AD&asb=1EN9BBz05Tsb3TGmK9Yjaz8aAW11xeaj6qCmeMYi55s%253D&asb2=6gvu8CGzKkDoKsar76hjWYxjE_OHp9xUVN0XwJLRfgY,,,,,,,,,,,,,,
KvHZHCUnRS1G2k25DBXWig==,WgdYr5llR6HwSxu/YrR2Gg==,5XiFHJ5g9LD2/hBLYZSAyQ==,t3BEZU93Oe7vyvrSCidOAQ==,x/NX0dIXDXJ5O2JeVUj0hg==,mRLvPGX0fBcYn83RRfMbYw==,4xEmOgC/TcprWGgJew3qUQ==,https://www.walmart.com/product/university-high-school/?_bctx=CAYQo_AD&asb=1EN9BBz05Tsb3TGmK9Yjaz8aAW11xeaj6qCmeMYi55s%253D&asb2=6gvu8CGzKkDoKsar76hjWYxjE_OHp9xUVN0XwJLRfgY,,,,,,,,,,,,,,
