date,utm_source,campaign,sessions,users,new_users,page_views,,,,,,,,,,,,,,,,,,,
2021-10-01,Platform 1,fireshow,23,51,18,120,,,,,,,,,,,,,,,,,,,
2021-10-01,Platform 1,fireshow,42,31,17,25,,,,,,,,,,,,,,,,,,,
2021-10-01,Platform 1,fireshow,43,67,0,35,,,,,,,,,,,,,,,,,,,
2021-10-01,Platform 1,strangeadventure,13,33,3,61,,,,,,,,,,,,,,,,,,,
2021-10-01,Platform 1,strangeadventure,42,19,2,108,,,,,,,,,,,,,,,,,,,
2021-10-01,Platform 1,strangeadventure,8,41,9,98,,,,,,,,,,,,,,,,,,,
2021-10-01,Platform 1,cinema,14,64,2,115,,,,,,,,,,,,,,,,,,,
2021-10-01,Platform 1,cinema,38,11,20,22,,,,,,,,,,,,,,,,,,,
2021-10-01,Platform 1,cinema,24,31,14,14,,,,,,,,,,,,,,,,,,,
2021-10-01,Platform 1,cinema,1,31,6,28,,,,,,,,,,,,,,,,,,,
2021-10-01,Platform 2,amacrm,1,17,8,83,,,,,,,,,,,,,,,,,,,
2021-10-01,Platform 2,amacrm,56,1,3,100,,,,,,,,,,,,,,,,,,,
2021-10-01,Platform 2,amacrm,67,26,20,30,,,,,,,,,,,,,,,,,,,
2021-10-01,Platform 2,amacrm,64,60,18,71,,,,,,,,,,,,,,,,,,,
2021-10-01,Platform 2,fighter,4,29,15,81,,,,,,,,,,,,,,,,,,,
2021-10-01,Platform 2,fighter,12,32,20,2,,,,,,,,,,,,,,,,,,,
2021-10-01,Platform 2,fighter,23,15,15,68,,,,,,,,,,,,,,,,,,,
2021-10-01,Platform 2,fighter,66,7,8,93,,,,,,,,,,,,,,,,,,,
2021-10-01,Platform 2,fighter,59,53,0,32,,,,,,,,,,,,,,,,,,,
2021-10-01,Platform 2,student,19,43,6,62,,,,,,,,,,,,,,,,,,,
2021-10-01,Platform 2,student,29,46,0,107,,,,,,,,,,,,,,,,,,,
2021-10-01,Platform 2,student,12,56,14,21,,,,,,,,,,,,,,,,,,,
2021-10-01,Platform 2,student,49,24,5,109,,,,,,,,,,,,,,,,,,,
2021-10-01,Platform 2,student,9,20,2,52,,,,,,,,,,,,,,,,,,,
2021-10-01,Platform 2,student,45,59,12,23,,,,,,,,,,,,,,,,,,,
2021-10-02,Platform 1,fireshow,61,2,13,73,,,,,,,,,,,,,,,,,,,
2021-10-02,Platform 1,fireshow,42,43,16,106,,,,,,,,,,,,,,,,,,,
2021-10-02,Platform 1,fireshow,70,39,4,65,,,,,,,,,,,,,,,,,,,
2021-10-02,Platform 1,strangeadventure,66,8,1,35,,,,,,,,,,,,,,,,,,,
2021-10-02,Platform 1,strangeadventure,53,15,10,32,,,,,,,,,,,,,,,,,,,
2021-10-02,Platform 1,strangeadventure,15,55,10,15,,,,,,,,,,,,,,,,,,,
2021-10-02,Platform 1,cinema,37,49,2,62,,,,,,,,,,,,,,,,,,,
2021-10-02,Platform 1,cinema,33,46,19,47,,,,,,,,,,,,,,,,,,,
2021-10-02,Platform 1,cinema,64,59,9,92,,,,,,,,,,,,,,,,,,,
2021-10-02,Platform 2,amacrm,70,66,19,17,,,,,,,,,,,,,,,,,,,
2021-10-02,Platform 2,amacrm,34,5,8,92,,,,,,,,,,,,,,,,,,,
2021-10-02,Platform 2,amacrm,25,66,3,51,,,,,,,,,,,,,,,,,,,
2021-10-02,Platform 2,fighter,38,42,14,1,,,,,,,,,,,,,,,,,,,
2021-10-02,Platform 2,fighter,12,60,14,69,,,,,,,,,,,,,,,,,,,
2021-10-02,Platform 2,student,48,50,1,87,,,,,,,,,,,,,,,,,,,
2021-10-02,Platform 2,student,19,17,11,90,,,,,,,,,,,,,,,,,,,
2021-10-02,Platform 2,student,40,11,12,82,,,,,,,,,,,,,,,,,,,
2021-10-02,Platform 2,amacrm,35,23,6,34,,,,,,,,,,,,,,,,,,,
2021-10-02,Platform 2,amacrm,0,70,17,92,,,,,,,,,,,,,,,,,,,
2021-10-03,Platform 1,fireshow,69,47,20,115,,,,,,,,,,,,,,,,,,,
2021-10-03,Platform 1,fireshow,60,50,13,22,,,,,,,,,,,,,,,,,,,
2021-10-03,Platform 1,fireshow,57,42,13,118,,,,,,,,,,,,,,,,,,,
2021-10-03,Platform 1,strangeadventure,27,14,2,102,,,,,,,,,,,,,,,,,,,
2021-10-03,Platform 1,strangeadventure,38,54,16,38,,,,,,,,,,,,,,,,,,,
2021-10-03,Platform 1,strangeadventure,21,19,0,57,,,,,,,,,,,,,,,,,,,
2021-10-03,Platform 1,cinema,66,13,0,106,,,,,,,,,,,,,,,,,,,
2021-10-03,Platform 1,cinema,24,10,19,114,,,,,,,,,,,,,,,,,,,
2021-10-03,Platform 1,cinema,37,28,0,57,,,,,,,,,,,,,,,,,,,
2021-10-03,Platform 2,amacrm,18,44,4,11,,,,,,,,,,,,,,,,,,,
2021-10-03,Platform 2,amacrm,12,49,17,28,,,,,,,,,,,,,,,,,,,
2021-10-03,Platform 2,amacrm,6,70,17,57,,,,,,,,,,,,,,,,,,,
2021-10-03,Platform 2,fighter,44,68,14,112,,,,,,,,,,,,,,,,,,,
2021-10-03,Platform 2,fighter,7,21,3,60,,,,,,,,,,,,,,,,,,,
2021-10-03,Platform 2,fighter,13,30,2,5,,,,,,,,,,,,,,,,,,,
2021-10-03,Platform 2,fighter,0,16,6,86,,,,,,,,,,,,,,,,,,,
2021-10-03,Platform 2,fighter,4,20,9,18,,,,,,,,,,,,,,,,,,,
2021-10-03,Platform 2,student,69,70,0,55,,,,,,,,,,,,,,,,,,,
2021-10-03,Platform 2,student,39,34,19,59,,,,,,,,,,,,,,,,,,,
2021-10-03,Platform 2,student,49,50,6,3,,,,,,,,,,,,,,,,,,,
